HBA;HBD;Molar ratio;Temperature (C);Pressure (bar);log 10 x_sol H2S;log 10 x_sol CO2;log 10 x_sol CH4;solubility H2S;solubility CO2;solubility CH4;Selectivity of H2S/ CH4;Selectivity of CO2/ CH4;Performance Index
tetrabutylammonium bromide;Levulinic acid;1&3;313.15;1;-0.70716878;-1.83406798;-2.82558568;0.19625974;0.014653185;0.001494219;1050.768118;78.45266248;82435.55648
tetrabutylammonium bromide;Levulinic acid;1&3;323.15;1;-0.79579808;-1.9257579;-2.86118439;0.16003019;0.011864299;0.001376625;929.9857564;68.9471751;64119.89079
tetrabutylammonium bromide;Levulinic acid;1&3;333.15;1;-0.88238538;-2.01185147;-2.89445365;0.131103601;0.0097308;0.001275106;822.5423299;61.05091355;50216.96067
tetrabutylammonium bromide;Levulinic acid;1&3;303.15;2;-0.35085502;-1.44185029;-2.48665097;0.445805046;0.036153447;0.003260987;1093.669088;88.69326999;97001.08766
tetrabutylammonium bromide;Levulinic acid;1&3;313.15;2;-0.48657929;-1.53845075;-2.52479093;0.326152499;0.02894338;0.00298682;873.5778766;77.52292792;67722.31477
tetrabutylammonium bromide;Levulinic acid;1&3;323.15;2;-0.56137835;-1.62897833;-2.56036738;0.274550128;0.023497501;0.0027519;798.1398903;68.3091745;54520.27704
tetrabutylammonium bromide;Levulinic acid;1&3;333.15;2;-0.63574823;-1.71420508;-2.59361777;0.231340553;0.019310562;0.002549073;726.0382929;60.60419362;44000.96528
tetrabutylammonium bromide;Levulinic acid;1&3;303.15;3;0;-1.27256356;-2.31082028;1;0.053387113;0.004888546;1636.478361;87.36685592;142973.9692
tetrabutylammonium bromide;Levulinic acid;1&3;313.15;3;-0.30910881;-1.36765903;-2.34893396;0.490784897;0.042888511;0.004477814;876.8294682;76.62401717;67186.19622
tetrabutylammonium bromide;Levulinic acid;1&3;323.15;3;-0.38318611;-1.45706731;-2.38448833;0.4138223;0.034908621;0.004125833;802.4023778;67.68789479;54312.92773
tetrabutylammonium bromide;Levulinic acid;1&3;333.15;3;-0.5064545;-1.54144988;-2.41771999;0.31156273;0.028744193;0.003821906;652.1619807;60.16724098;39238.78705
tetrabutylammonium chloride;Levulinic acid; 1& 1;303.15;1;-0.48025424;-1.58583679;-2.66999455;0.330937331;0.025951545;0.002137989;1238.312614;97.10637609;120248.0504
tetrabutylammonium chloride;Levulinic acid; 1& 1;313.15;1;-0.57402506;-1.68740289;-2.71141823;0.266670478;0.020539843;0.001943488;1097.698718;84.54838707;92808.6561
tetrabutylammonium chloride;Levulinic acid; 1& 1;323.15;1;-0.66703429;-1.78245134;-2.75006851;0.215261177;0.016502459;0.001777999;968.5548206;74.2518292;71916.96711
tetrabutylammonium chloride;Levulinic acid; 1& 1;333.15;1;-0.75778632;-1.87184903;-2.78620782;0.174668134;0.013432318;0.001636033;854.105438;65.68236426;56099.6645
tetrabutylammonium chloride;Levulinic acid; 1& 1;303.15;2;-0.27609471;-1.29384609;-2.3694127;0.529547949;0.050833956;0.004271568;991.7631715;95.20430719;94420.12564
tetrabutylammonium chloride;Levulinic acid; 1& 1;313.15;2;-0.34999384;-1.39332204;-2.41078595;0.446689928;0.0404276;0.003883417;920.1997204;83.28252752;76636.55854
